Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA,Fecha_parsed,Mes,Nivel
Monitor-a de suport a les preses. ref. smntr,Girona - Cataluña - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluna,2025-04-04,abril,Sin estudios
Gpp&w - jefe-a de partida restaurante,Illes Balears - Baleares - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares,2025-04-04,abril,Sin estudios
Técnico en área laboral de asesoría de empresas,Badajoz - Extremadura - España,04/04/2025,Sin especificar,Programas de formación e inserción…,,NA,NA,NA,SI,Extremadura,2025-04-04,abril,NA
Auxiliar de limpieza. ref. sxsdl,Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid,2025-04-04,abril,Sin estudios
"Empleados de venta de cupones, en general",Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Marmolistas de la construcción,Ourense - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Empleados de venta de cupones, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Captador-a socios save the children 4 h mañana,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Andalucia,2025-04-04,abril,Básico
Monitor-a de suport a les preses. ref. smntr,Girona - Cataluña - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluna,2025-04-04,abril,Sin estudios
Soporte técnico-a (santander),Cantabria - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cantabria,2025-04-04,abril,Sin estudios
Oferta pública: gerocultor-a en residencia de ancianos,Cadiz - Andalucia - España,04/04/2025,1.349,Enseñanzas universitarias de primer…,1349,1349,NA,16,SI,Andalucia,2025-04-04,abril,Universidad
Oferta publica: conductor - operador de retroexcavadora (movimiento de tierras),Cadiz - Andalucia - España,04/04/2025,1.400,Enseñanzas universitarias de primer…,1400,1400,NA,17,SI,Andalucia,2025-04-04,abril,Universidad
Auxiliar de enfermería,Malaga - Andalucia - España,04/04/2025,1.183,Otros tipos de formación,1183,1183,NA,14,SI,Andalucia,2025-04-04,abril,Otros
Personal funcionario interino cuerpo ingeniero tecnico industrial a2.2004,Cadiz - Andalucia - España,04/04/2025,2.098,Enseñanzas universitarias de 1 er y 2º…,2098,2098,NA,25,SI,Andalucia,2025-04-04,abril,Universidad
Oferta pública: auxiliar de protección civil,Cadiz - Andalucia - España,04/04/2025,605,Enseñanzas universitarias de primer…,605,605,NA,7,SI,Andalucia,2025-04-04,abril,Universidad
Conductor-a camión con carnet tipo c,Caceres - Extremadura - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-04,abril,Otros
Auxiliar de tienda para badalona. barcelona,Barcelona - Cataluña - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Cataluna,2025-04-04,abril,Básico
Empleado-a administrativo-a,Badajoz - Extremadura - España,04/04/2025,Sin especificar,Doctorado universitario.,,NA,NA,NA,SI,Extremadura,2025-04-04,abril,Doctorado
Gpp&w - 2º jefe-a de mantenimiento (maintenance organizer),Illes Balears - Baleares - España,04/04/2025,Sin especificar,Enseñanzas universitarias de primer…,,NA,NA,NA,SI,Baleares,2025-04-04,abril,Universidad
Cocinero en logrosan.,Caceres - Extremadura - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-04,abril,Otros
Repartidor-a de pizzas zona valladolid,Valladolid - Castilla Leon - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Castilla Leon,2025-04-04,abril,Básico
Monitor-a comedor escolar. ref smntr,Valencia - Comunidad Valenciana - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Comunidad Valenciana,2025-04-04,abril,Sin estudios
Profesor-a -a de autoescuela,Tarragona - Cataluña - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluna,2025-04-04,abril,Sin estudios
Asistentes domiciliarios,Las Palmas - Canarias - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-04,abril,Otros
Pintores y-o empapeladores,Las Palmas - Canarias - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-04,abril,Otros
Palista,Navarra - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Navarra,2025-04-04,abril,Otros
Educador-a social jubiloteca,Navarra,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,NO,Navarra,2025-04-04,abril,Universidad
Montadores de andamios,Sta.cruz de Tenerife - Canarias - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-04,abril,Otros
Oferta pública: medico de recursos avanzados de cuidados paliativos,Granada - Andalucia - España,04/04/2025,3.600,Enseñanzas universitarias de primer…,3600,3600,NA,43,SI,Andalucia,2025-04-04,abril,Universidad
Oferta pública: médico de familia (sccu).,Granada - Andalucia - España,04/04/2025,3.419,Enseñanzas universitarias de 1 er y 2º…,3419,3419,NA,41,SI,Andalucia,2025-04-04,abril,Universidad
Oferta pública: redactor-a,Cadiz - Andalucia - España,04/04/2025,3.173,Enseñanzas universitarias de primer…,3173,3173,NA,38,SI,Andalucia,2025-04-04,abril,Universidad
Jefe-a de partida - palladium hotel menorca,Illes Balears - Baleares - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares,2025-04-04,abril,Sin estudios
Oferta privada: farmaceutico-a hospitalario-a,Cadiz - Andalucia - España,04/04/2025,4.166,Estudios oficiales de especialización…,4166,4166,NA,50,SI,Andalucia,2025-04-04,abril,NA
Oferta privada: personal limpieza viviendas uso turistico,Cadiz - Andalucia - España,04/04/2025,579,Enseñanzas universitarias de grado,579,579,NA,7,SI,Andalucia,2025-04-04,abril,Universidad
"It helpdesk technician, málaga",Malaga - Andalucia - España,04/04/2025,Sin especificar,Enseñanzas universitarias de 1 er y 2º…,,NA,NA,NA,SI,Andalucia,2025-04-04,abril,Universidad
"Oferta privada: enfermero-a de cuidados generales-due, para residencia de personas mayores",Malaga - Andalucia - España,04/04/2025,900,Enseñanzas universitarias oficiales de…,900,900,NA,11,SI,Andalucia,2025-04-04,abril,Universidad
Oferta pública: gerocultor-a en residencia de ancianos,Cadiz - Andalucia - España,04/04/2025,1.349,Enseñanzas universitarias de primer…,1349,1349,NA,16,SI,Andalucia,2025-04-04,abril,Universidad
Oferta pública: cocinero-a para sustitución en residencia,Cadiz - Andalucia - España,04/04/2025,1.291,Enseñanzas universitarias de primer…,1291,1291,NA,15,SI,Andalucia,2025-04-04,abril,Universidad
"Qa funcionales certificación istqb. híbrido, hibrido",Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid,2025-04-04,abril,Sin estudios
"Consultores senior calypso banca inglés híbrido, hibrido",Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid,2025-04-04,abril,Sin estudios
Gpp&w - cocinero-a,Illes Balears - Baleares - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares,2025-04-04,abril,Sin estudios
Monitor-a de suport a torrefarrera. ref. smntr,Lleida - Cataluña - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluna,2025-04-04,abril,Sin estudios
Gpp&w - técnico-a de mantenimiento,Illes Balears - Baleares - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares,2025-04-04,abril,Sin estudios
Cocinero,Navarra - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Navarra,2025-04-04,abril,Otros
Soldador-a - carpintero-a metálico,Navarra - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Navarra,2025-04-04,abril,Otros
Dirección de gestión de personas. no clicar boton inscribirse. hacerlo a través de la web cpen.,Navarra - España,04/04/2025,Sin especificar,Enseñanzas universitarias de grado,,NA,NA,NA,SI,Navarra,2025-04-04,abril,Universidad
Auxiliar clínica dental,Navarra - España,04/04/2025,Sin especificar,Enseñanzas de grado superior de…,,NA,NA,NA,SI,Navarra,2025-04-04,abril,FP/Bachiller
Ayudante educativo-a para centro ocupacional,Navarra - España,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Navarra,2025-04-04,abril,Universidad
"Administrador-a wintel sccm, hibrido",Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid,2025-04-04,abril,Sin estudios
Valet - aparcacoches en hotel,Navarra - España,04/04/2025,Sin especificar,Enseñanzas de grado medio de formación…,,NA,NA,NA,SI,Navarra,2025-04-04,abril,FP/Bachiller
Teleoperador-a de atención al cliente (horario irregular),Navarra - España,04/04/2025,Sin especificar,Enseñanzas de grado medio de formación…,,NA,NA,NA,SI,Navarra,2025-04-04,abril,FP/Bachiller
"Ingeniero-a fullstack java-angular, 100% en remoto",España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA,2025-04-04,abril,Otros
"Arquitecto .net - inglés alto, 100% en remoto",España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA,2025-04-04,abril,Sin estudios
Administrativo contable en centro residencial,Granada - Andalucia - España,04/04/2025,21.000 - 23.999 Primera etapa de educación secundaria…,NA,21000-23999,21000,23999,22,SI,Andalucia,2025-04-04,abril,NA
Administrativo-a,Madrid - España,04/04/2025,14.000 - 17.999 Primera etapa de educación secundaria…,NA,14000-17999,14000,17999,16,SI,Madrid,2025-04-04,abril,NA
"Desarrollador-a senior fullstack, presencial",Barcelona - Cataluña - España,04/04/2025,30.000 - 48.000,Sin estudios,30000-48000,30000,48000,39,SI,Cataluna,2025-04-04,abril,Sin estudios
"Consultor-a bmc discovery, 100% en remoto",España,04/04/2025,48.000 - 54.000,Sin estudios,48000-54000,48000,54000,51,SI,NA,2025-04-04,abril,Sin estudios
"Consultor-a sap hcm, 100% en remoto",España,04/04/2025,Sin especificar,Enseñanzas de grado superior de…,,NA,NA,NA,SI,NA,2025-04-04,abril,FP/Bachiller
"Data governance - ibm, madrid",Madrid - España,04/04/2025,36.000 - 42.000,Enseñanzas universitarias de grado,36000-42000,36000,42000,39,SI,Madrid,2025-04-04,abril,Universidad
"Desarrollo full-stack (.net - angular), madrid",Madrid - España,04/04/2025,27.000 - 42.000,Sin estudios,27000-42000,27000,42000,34,SI,Madrid,2025-04-04,abril,Sin estudios
"Técnico de redes, hibrido",Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Andalucia,2025-04-04,abril,Sin estudios
Operario-a de producción,Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,14000-17999,14000,17999,16,SI,Comunidad Valenciana,2025-04-04,abril,Sin estudios
"Validation lead, hessen",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Product owner, gotlands län",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Enterprise architect, london",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
Operario-a de manufactura en salinas (alicante),Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,14000-17999,14000,17999,16,SI,Castilla la Mancha,2025-04-04,abril,FP/Bachiller
"Ingeniero de desarrollo electrónico, bizkaia",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Senior fullstack node aws (inglés), hibrido",Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,30000-33000,30000,33000,32,SI,Aragon,2025-04-04,abril,Sin estudios
"Qa tester (murex testing), hibrido",Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid,2025-04-04,abril,Sin estudios
"Tech lead azure databricks (inglés), 100% en remoto",España,04/04/2025,45.000 - 48.000,Sin estudios,45000-48000,45000,48000,46,SI,NA,2025-04-04,abril,Sin estudios
"Programador front angular, 100% en remoto",Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Andalucia,2025-04-04,abril,Sin estudios
"Ignite technical program manager, republika bulgariya",Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,14000-17999,14000,17999,16,SI,Comunidad Valenciana,2025-04-04,abril,Sin estudios
"Programador powercenter- amazon redshift, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Senior system programmer ims, noord-holland",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Field support engineer, london",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Consultor sap datasphere (sap bo-bw), españa",Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,14000-17999,14000,17999,16,SI,Castilla la Mancha,2025-04-04,abril,FP/Bachiller
"Software engineer spark scala, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Ingeniero-a programador-a angular, 100% en remoto",Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,30000-33000,30000,33000,32,SI,Aragon,2025-04-04,abril,Sin estudios
Operador-a de red de nivel i,Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid,2025-04-04,abril,Sin estudios
"Desarrollador-a power apps, 100% en remoto",España,04/04/2025,45.000 - 48.000,Sin estudios,45000-48000,45000,48000,46,SI,NA,2025-04-04,abril,Sin estudios
"Analista ciberseguridad, 100% en remoto",Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Andalucia,2025-04-04,abril,Sin estudios
"Gerente de cuentas junior, hibrido",Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,14000-17999,14000,17999,16,SI,Comunidad Valenciana,2025-04-04,abril,Sin estudios
"Consultor-a funcional - pasarela de pago, hibrido",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Arquitecto-a data, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Desarrollador-a bi, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Techno functional consultant, west midlands",Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,14000-17999,14000,17999,16,SI,Castilla la Mancha,2025-04-04,abril,FP/Bachiller
"Security specialist (ciso), 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Administrador-a de sistemas, presencial",Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,30000-33000,30000,33000,32,SI,Aragon,2025-04-04,abril,Sin estudios
"Cloud engineer, 100% en remoto",Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid,2025-04-04,abril,Sin estudios
"Programador-a python, 100% en remoto",España,04/04/2025,45.000 - 48.000,Sin estudios,45000-48000,45000,48000,46,SI,NA,2025-04-04,abril,Sin estudios
2 agentes comerciales de seguros(ref.8643).,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Andalucia,2025-04-04,abril,Sin estudios
"Integrations manager, republika bulgariya",Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,14000-17999,14000,17999,16,SI,Comunidad Valenciana,2025-04-04,abril,Sin estudios
Operador-a de red nivel i,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Scrum master (inglés avanzado), 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Técnico-a cableado, presencial",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Product owner (data warehouse), utrecht",Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,14000-17999,14000,17999,16,SI,Castilla la Mancha,2025-04-04,abril,FP/Bachiller
"Ingeniero-a de software, hibrido",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"It specialist con inglés, madrid",Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,30000-33000,30000,33000,32,SI,Aragon,2025-04-04,abril,Sin estudios
Personal de limpieza con discapacidad,Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid,2025-04-04,abril,Sin estudios
Enfermeros especialistas en enfermería geriátrica. madrid.,España,04/04/2025,45.000 - 48.000,Sin estudios,45000-48000,45000,48000,46,SI,NA,2025-04-04,abril,Sin estudios
"Devops engineer (jenkins-gitlab), hibrido",Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Andalucia,2025-04-04,abril,Sin estudios
"Consultor-a senior sap subvenciones, 100% en remoto",Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,14000-17999,14000,17999,16,SI,Comunidad Valenciana,2025-04-04,abril,Sin estudios
"Programadores junior-senior .net-angular, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Backend senior java, hibrido",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Data analyst, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-04,abril,Otros
"Qa tester - banca (temenos core), 100% en remoto",Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,14000-17999,14000,17999,16,SI,Castilla la Mancha,2025-04-04,abril,FP/Bachiller
