Título,SalarioPromedio,España,CCAA,Mes,Nivel,Modalidad
"Programador - programadora, 100% en remoto",27,NA,NA,abril,Otros,Remoto
"Experienced it auditor 100% (f-m-d), madrid",32,SI,Aragon,abril,Sin estudios,Presencial
"Software engineering qa, hibrido",32,SI,Madrid,abril,Sin estudios,Híbrido
"Backend engineer (java-springboot) f-m-d, madrid",46,SI,NA,abril,Sin estudios,Presencial
"Backend engineer (java-springboot) f-m-d, madrid",32,SI,Andalucia,abril,Sin estudios,Presencial
"Java fullstack engineer (focus backend), madrid",16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
"Full stack java software engineer f-m-d, madrid",27,NA,NA,abril,Otros,Presencial
"Desarrollador-a junior salesforce, madrid",27,NA,NA,abril,Otros,Presencial
"Angular developer, 100% en remoto",27,NA,NA,abril,Otros,Remoto
"Senior backend developer, málaga",16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
"Frontend (react-angular-typescript), madrid",27,NA,NA,abril,Otros,Presencial
"Ingeniero-a de sistemas y redes, presencial",32,SI,Aragon,abril,Sin estudios,Presencial
"Infrastructure engineer, skåne",32,SI,Madrid,abril,Sin estudios,Presencial
"Java fullstack engineer (focus backend), madrid",46,SI,NA,abril,Sin estudios,Presencial
"Java fullstack engineer (focus frontend), madrid",32,SI,Andalucia,abril,Sin estudios,Presencial
"Java fullstack engineer (focus frontend), madrid",16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
Ingeniero de proyectos (h-m),27,NA,NA,abril,Otros,Presencial
Técnico de prevención de riesgos laborales junior_empresa industrial (h-m),27,NA,NA,abril,Otros,Presencial
Operador-a soporte técnico (teleoperador-a),27,NA,NA,abril,Otros,Presencial
Conductor camión unidades móviles de comunicaciones en unidad de emergencias y chofer de…,16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
"Fullstack java (inglés), 100% en remoto",27,NA,NA,abril,Otros,Remoto
"Engineer azure data, 100% en remoto",32,SI,Aragon,abril,Sin estudios,Remoto
"Operador amadeus altea - loyalty, 100% en remoto - primer empleo",32,SI,Madrid,abril,Sin estudios,Remoto
"Devops engineer, hibrido",46,SI,NA,abril,Sin estudios,Híbrido
Peon ganadero,32,SI,Andalucia,abril,Sin estudios,Presencial
Peon ganadero,16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
Chofer c y c+e,27,NA,NA,abril,Otros,Presencial
Operador maquinaria en cantera y obra,27,NA,NA,abril,Otros,Presencial
Camarera-o de piso avanzada-o | hoteles | 6710,27,NA,NA,abril,Otros,Presencial
Administrativo-a comercial,16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
Dependiente florista,27,NA,NA,abril,Otros,Presencial
Peon agricola- cortador de sandia,32,SI,Aragon,abril,Sin estudios,Presencial
Comercial de instalaciones fotovoltaicas y aerotermia,32,SI,Madrid,abril,Sin estudios,Presencial
Técnico-a multidisciplinar - beone leganés,46,SI,NA,abril,Sin estudios,Presencial
Instalador eléctrico guadalajara,32,SI,Andalucia,abril,Sin estudios,Presencial
Carretillero-a almacén materiales de construcción.,16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
Camionero,27,NA,NA,abril,Otros,Presencial
Se busca data engineer para valladolid,27,NA,NA,abril,Otros,Presencial
Encargado-responsable bar-pub-coctelería zona tarragona,27,NA,NA,abril,Otros,Presencial
Monitor viajes en el extranjero,16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
Paleta,27,NA,NA,abril,Otros,Presencial
Vigilantes-as de seguridad renfe guipuzcoa,32,SI,Aragon,abril,Sin estudios,Presencial
Vigilantes-as de seguridad - tudela,32,SI,Madrid,abril,Sin estudios,Presencial
Operario de almacén - palista,46,SI,NA,abril,Sin estudios,Presencial
Vigilantes-as de seguridad- renfe vitoria,32,SI,Andalucia,abril,Sin estudios,Presencial
Repartidor en camion,16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
Cocinero-a,27,NA,NA,abril,Otros,Presencial
Camarera-o 40h cafeteria tres cantos,27,NA,NA,abril,Otros,Presencial
Dependiente - administrativo-a con discapacidad,27,NA,NA,abril,Otros,Presencial
Formador-a de formación profesional para el empleo,16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
Jardinero-a con discapacidad mínima del 33% para fuengirola,27,NA,NA,abril,Otros,Presencial
Comercial con discapacidad,32,SI,Aragon,abril,Sin estudios,Presencial
Administrativo para tratamiento de documentación para gestión en archivo,32,SI,Madrid,abril,Sin estudios,Presencial
Operario de bodega san antonio de padua sdad. coop. de clm,46,SI,NA,abril,Sin estudios,Presencial
Carnicero deshuesador oficial de primera,32,SI,Andalucia,abril,Sin estudios,Presencial
Trabajador agricola,16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
Jardinero-a con discapacidad mínimo del 33% para estepona,27,NA,NA,abril,Otros,Presencial
Educador-a ambiental - balears,27,NA,NA,abril,Otros,Presencial
Oficiales en calderería y soldadura,27,NA,NA,abril,Otros,Presencial
Contable,16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
Ingenieros y delineantes para departamento técnico,27,NA,NA,abril,Otros,Presencial
Panadero,32,SI,Aragon,abril,Sin estudios,Presencial
"Conductor camion- castellon de rugat, valencia",32,SI,Madrid,abril,Sin estudios,Presencial
Oferta de trabajo para cocinero-ayudante de cocina,46,SI,NA,abril,Sin estudios,Presencial
Oferta ayudante de panaderia-reposteria,32,SI,Andalucia,abril,Sin estudios,Presencial
Sales closer,16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
Agente de seguros especialista en salud (cádiz),27,NA,NA,abril,Otros,Presencial
